,birthyear,author,title,pub_year
1134,1837.0,William Dean Howells,The Entire March Family Trilogy,
1135,1837.0,William Dean Howells,Short Stories and Essays (from Literature and Life),
1136,1837.0,William Dean Howells,April Hopes,
1137,1875.0,Rafael Sabatini,"The Shame of Motley: being the memoir of certain transactions in the life of Lazzaro Biancomonte, of Biancomonte, sometime fool of the court of Pesaro",
1138,1815.0,Anthony Trollope,Barchester Towers,1857.0
1139,1873.0,Stewart Edward White,The Blazed Trail,
1140,1862.0,Annie Hamilton Donnell,Rebecca Mary,
1141,1875.0,Rafael Sabatini,"The Strolling Saint; being the confessions of the high and mighty Agostino D'Anguissola, tyrant of Mondolfo and Lord of Carmina, in the state of Piacenza",
1142,1846.0,Marcus Andrew Hislop Clarke,For the Term of His Natural Life,
1143,1836.0,Marietta Holley,Samantha at Saratoga,
1144,1869.0,Ellis Parker Butler,"Kilo : being the love story of Eliph' Hewlitt, book agent",
1145,1869.0,Booth Tarkington,The Two Vanrevels,
1146,1832.0,G. A. Henty,St. George for England,1884.0
1147,1864.0,E. L. Voynich,The Gadfly,
1148,1872.0,Zane Grey,The Man of the Forest,
1149,,Mary Roberts Rinehart,Tish: The Chronicle of Her Escapades and Excursions,
1150,1860.0,Ralph Connor,The Foreigner: A Tale of Saskatchewan,
1151,1840.0,Thomas Hardy,The Hand of Ethelberta: A Comedy in Chapters,
1152,1867.0,Harry Leon Wilson,Merton of the Movies,
1153,1884.0,Hugh Walpole,Jeremy,
1154,1875.0,Edgar Rice Burroughs,The Efficiency Expert,1921.0
1155,1884.0,Abraham Merritt,The Metal Monster,
1156,1884.0,Dana Gatlin,Missy,
1157,1832.0,Louisa May Alcott,Jo's Boys,1886.0
1158,1828.0,Jules Verne,"Five Weeks in a Balloon
Or, Journeys and Discoveries in Africa by Three Englishmen",
1159,1875.0,Rafael Sabatini,"Love-at-Arms
Being a Narrative Excerpted from the Chronicles of Urbino During The Dominion of the High and Mighty Messer Guidobaldo Da Montefeltro",
1160,1869.0,Stephen Leacock,Sunshine Sketches of a Little Town,1912.0
1161,1884.0,Hugh Walpole,The Captives,
1162,1878.0,Salisbury Field,Cupid's Understudy,
1163,1865.0,Hamilton Brock; Ray Fuller,On the Firing Line,
1164,1870.0,Robert Tressell,The Ragged Trousered Philanthropists,
1165,1868.0,Victoria Cross,To-morrow?,
1166,1823.0,Charlotte Mary Yonge,"The Daisy Chain, or Aspirations",
1167,1815.0,Anthony Trollope,"The O'Conors of Castle Conor, County Mayo
From ""Tales from All Countries""",
1168,1825.0,Mary Jane Holmes,Cousin Maude,
1169,1870.0,J. Hartley Manners,Peg O' My Heart,
1170,1815.0,Anthony Trollope,The Duke's Children,1879.0
1171,1871.0,Theodore Dreiser,The Titan,1914.0
1172,1824.0,Wilkie Collins,Poor Miss Finch,1872.0
1173,1824.0,Wilkie Collins,The Guilty River,
1174,1880.0,Kathleen Norris,Mother: A Story,1911.0
1175,1864.0,Robert Hichens,The Garden of Allah,
1176,,Cosmo Hamilton,Who Cares? A Story of Adolescence,
1177,1865.0,Lucy Fitch Perkins,The Belgian Twins,
1178,1871.0,Winston Churchill,The Dwelling Place of Light,
1179,1862.0,Joseph A. Altsheler,The Guns of Bull Run: A Story of the Civil War's Eve,
1180,1860.0,Ralph Connor,The Prospector: A Tale of the Crow's Nest Pass,
1181,1862.0,Florence L. Barclay,The Rosary,1909.0
1182,1857.0,Mary E. Bamford,Out of the Triangle: A Story of the Far East,
1183,1866.0,Harold Bindloss,The Girl from Keller's,
1184,1857.0,Alfred Henry Lewis,Wolfville Days,
1185,1814.0,Charles Reade,A Woman-Hater,
1186,1814.0,Charles Reade,Peg Woffington,1853.0
1187,1814.0,Charles Reade,Christie Johnstone: A Novel,
1188,1832.0,G. A. Henty,The Dragon and the Raven,
1189,1868.0,Steele Rudd,On Our Selection,1899.0
1190,1871.0,Louis Stone,Jonah,1911.0
1191,1871.0,Winston Churchill,Mr. Crewe's Career,1908.0
1192,1853.0,Howard Pyle,The Ruby of Kishmoor,
1193,1823.0,Charlotte Mary Yonge,The Prince and the Page: A Story of the Last Crusade,
1194,1815.0,Anthony Trollope,"Miss Sarah Jack of Spanish Town, Jamaica",
1195,1815.0,Anthony Trollope,The Courtship of Susan Bell,
1196,1814.0,Dion Boucicault,Foul Play,
1197,,Ethel C. Pedley,Dot and the Kangaroo,
1198,1874.0,Robert Alexander Wason,Happy Hawkins,
1199,1857.0,Gertrude Franklin Horn Atherton,The Valiant Runaways,
1200,1862.0,O. Henry,"The Trimmed Lamp, and Other Stories of the Four Million",
1201,1856.0,H. Rider Haggard,Love Eternal,1918.0
1202,1815.0,Anthony Trollope,An Unprotected Female at the Pyramids,
1203,1815.0,Anthony Trollope,The Relics of General Chasse: A Tale of Antwerp,
1204,1815.0,Anthony Trollope,The Chateau of Prince Polignac,
1205,1815.0,Anthony Trollope,Aaron Trow,
1206,,Ambrose Bierce,The Parenticide Club,
1207,1815.0,Anthony Trollope,Mrs. General Talboys,
1208,1815.0,Anthony Trollope,The Parson's Daughter of Oxney Colne,
1209,1815.0,Anthony Trollope,George Walker at Suez,
1210,1815.0,Anthony Trollope,Returning Home,
1211,1863.0,Gene Stratton-Porter,A Daughter of the Land,
1212,1815.0,Anthony Trollope,A Ride Across Palestine,
1213,1870.0,Henry Handel Richardson,The Getting of Wisdom,1910.0
1214,1857.0,Alfred Henry Lewis,Wolfville,1900.0
1215,,Victor Appleton,"Tom Swift in the Caves of Ice, or, the Wreck of the Airship",
1216,1871.0,Winston Churchill,A Far Country,1915.0
1217,1823.0,Charlotte Mary Yonge,The Trial,
1218,1872.0,Maria Thompson Daviess,The Road to Providence,
1219,1862.0,Gilbert Parker,The Judgment House,
1220,1881.0,P. G. Wodehouse,Indiscretions of Archie,
1221,1804.0,Benjamin Disraeli,"Sybil, Or, The Two Nations",
1222,1871.0,Winston Churchill,Coniston,1906.0
1223,1815.0,Anthony Trollope,The Man Who Kept His Money in a Box,
1224,1865.0,Lucy Fitch Perkins,The Eskimo Twins,
1225,1859.0,Arthur Conan Doyle,The Valley of Fear,1915.0
1226,,Victor Appleton,Tom Swift and His Electric Rifle,1911.0
1227,1847.0,Bram Stoker,The Jewel of Seven Stars,1903.0
1228,1875.0,John Buchan,Huntingtower,1922.0
1229,1830.0,Henry Kingsley,The Recollections of Geoffrey Hamlyn,
1230,1849.0,James Lane Allen,The Reign of Law; a tale of the Kentucky hemp fields,
1231,1819.0,Emma Dorothy Eliza Nevitte Southworth,Capitola the Madcap,
1232,1832.0,Louisa May Alcott,Under the Lilacs,1878.0
1233,1874.0,Lucy Maud Montgomery,Rilla of Ingleside,1921.0
1234,1866.0,H. G. Wells,In the Days of the Comet,1906.0
1235,1832.0,Emile Gaboriau,The Lerouge Case,
1236,1862.0,Henry Seton Merriman,The Vultures,
1237,1832.0,Louisa May Alcott,A Modern Cinderella,
1238,1828.0,Jules Verne,Robur the Conqueror,1886.0
1239,1828.0,Jules Verne,The Master of the World,1928.0
1240,1862.0,Joseph A. Altsheler,The Star of Gettysburg: A Story of Southern High Tide,
1241,1856.0,H. Rider Haggard,The Lady of Blossholme,1909.0
